1932.27	1900.53	653.83	570.95	1810.70	119.53
367.05	366.08	186.16	252.07	395.43	32.82
86.89	85.38	40.85	51.71	83.26	8.95
154.27	147.07	30.68	57.96	146.30	-1.27
197.21	193.28	104.56	90.15	182.60	7.85
244.17	231.55	56.37	121.96	224.04	26.49
497.74	483.69	206.80	501.37	496.59	27.76
308.91	296.99	118.65	76.90	277.42	19.32
191.77	189.05	70.19	62.31	191.98	23.08
905.32	894.61	351.52	502.99	1048.02	53.88
254.99	242.38	106.66	75.48	234.76	19.65
867.07	852.34	418.82	217.76	806.94	37.01
219.36	207.07	82.58	54.74	192.74	11.02
570.33	563.33	224.23	190.77	697.91	20.61
59.11	57.32	16.97	40.33	56.56	6.03
430.58	426.25	103.08	147.05	442.04	0.79
65.03	64.36	28.38	8.58	60.48	2.88
